Area_Code	Parameter_Code	Indicator_Code	Folder_Code	Folder_Desc	
IV	D	IMP	I.27.	The institution rewards SAS staff for exceptional job performance.	
IV	D	IMP	I.28.	The institution informs the students and other stakeholders on other related programs and services not cited in CMO No. 9s. 2013.	
IV	D	OUT	O.1	The institutional programs and services develop student potentials to the fullest.	
IV	E	SIP	S.1.	The institution has a research program on student affairs and services.	
IV	E	SIP	S.2.	There is mechanism for monitoring and evaluation of SAS programs.	
IV	E	SIP	S.3.	Monitoring and evaluation instruments are available.	
IV	E	SIP	S.4.	There is adequate funding for the conduct of SAS researches and monitoring and evaluation.	
IV	E	IMP	I.1.	Researches on student affairs and services are conducted.	
IV	E	IMP	I.2.	Research results and outputs are disseminated and utilized.	
IV	E	IMP	I.3.	Regular monitoring and evaluation on the implementation of student services are conducted.	
IV	E	IMP	I.4.	Monitoring and evaluation instruments are developed, reviewed, and continuously improved.	
IV	E	IMP	I.5.	Reports are filed and submitted regularly to CHEDRO.	
IV	E	OUT	O.1	Research outputs are presented and published.	
V	A	SIP	S.1	The institution’s research agenda is in consonance with institutional, regional and national priorities concerned such as DOST, CHED- National Higher Education Research Agenda, NEDA, etc.	
V	A	SIP	S.2	The institution has an approved Research Manual.	
V	A	IMP	I.1	The approved Research Agenda is implemented.	
V	A	IMP	I.2	The following stakeholders participate in the formulation of research agenda as bases for identifying institutional thrusts and priorities:	
V	A	IMP	I.2.1.	administrators	
V	A	IMP	I.2.2.	faculty	
V	A	IMP	I.2.3.	students	
V	A	IMP	I.2.4.	government agency representatives (DOST, CHED, NEDA, etc.,) and	
V	A	IMP	I.2.5.	other stakeholders (alumni, parents, etc.)	
V	A	IMP	I.3.	Action researches to test theory in practice are conducted by faculty and students	
V	A	IMP	I.4.	Team collaborative and interdisciplinary research is encouraged.	
V	A	IMP	I.5.	Research outputs are published in refereed national and / or international journals.	
V	A	OUT	O.1	 Priority researches are identified and conducted	
V	A	OUT	O.2	 Research results are published.	
V	B	SIP	S.1	The institution has an approved and adequate budget for research.	
V	B	SIP	S.2.	There are provisions for the following:	
V	B	SIP	S.2.1.	facilities and equipment such as Internet, statistical software, and other ICT resources	
V	B	SIP	S.2.2.	research staff	
V	B	SIP	S.2.3.	supplies and materials	
V	B	SIP	S.2.4.	workplace.	
V	B	IMP	I.1	allocates adequate funds for the conduct of faculty and student research.	
V	B	IMP	I.2.	establishes linkages with the local/ national/ international agencies for funding support and assistance.	
V	B	IMP	I.3.	maintains a functional and long- range program of faculty/ staff development to enhance research capability and competence.	
V	B	IMP	I.4.	encourages the conduct of externally funded researches.	
V	B	OUT	O.1	The research Program is adequately funded.	
V	C	SIP	S.1	There is a system of implementation, monitoring, evaluation and utilization of research outputs.	
V	C	SIP	S.2	The institution has a policy on Intellectual Property Rights (IPR).	
V	C	IMP	I.1	The institution/ College/ Academic Unit has a Research Unit managed by competent staff.	
V	C	IMP	I.2.	The Research Manual provides guidelines and procedures for the administration and conduct of research.	
V	C	IMP	I.3.	The faculty conduct applied and operational researchers in their fields of specialization in accordance with the thrusts and priorities of the program/ institution.	
V	C	IMP	I.4.	The institution provides incentives to faculty researchers/  such as honoraria, service credits, deloading, etc.	
V	C	IMP	I.5.	The College Academic Unit requires its students to conduct research, as a course requirement, (whenever applicable).	
V	C	IMP	I.6.	The institution provides opportunities for advanced studies and/ or training to enhance faculty/ staff research competence.	
V	C	IMP	I.7.	Completed and on- going research studies are periodically monitored and evaluated in local and regional in- house reviews.	
V	C	IMP	I.8.	Research outputs are utilized as inputs in:	
V	C	IMP	I.8.1.	institutional development	
V	C	IMP	I.8.2.	the improvement of instructional processes	
V	C	IMP	I.8.3.	the transfer of generated technology/ knowledge to the community.	
V	C	IMP	I.9.	Packaged technologies and new information are disseminated to the target clientele through appropriate delivery systems.	
V	C	IMP	I.10.	The institution ensures:	
V	C	IMP	I.10.1	Research outputs are protected by IPR laws; and	
V	C	IMP	1.10.2	faculty and students observed research ethics to avoid malpractices like plagiarism, fabrication of data, etc.	
V	C	OUT	O.1		
V	D	SIP	S.1	The institution has an approved and copyrighted Research Journal.	
V	D	SIP	S.2.	The institution has incentives for:	
V	D	SIP	S.2.1.	paper presentations	
V	D	SIP	S.2.2.	journal publication	
V	D	SIP	S.2.3.	outstanding research related performance	
V	D	SIP	S.2.4.	patented outputs.	
V	D	IMP	I.1	The institution provides opportunities for the dissemination of research results in fora, conferences, seminars, and other related means.	
V	D	IMP	I.2.	The institution regularly publishes a research journal.	
V	D	IMP	I.3.	Library exchange of research publications with other HEI’s and agencies is maintained.	
V	D	IMP	I.4.	Research manuscripts/ technical reports are well- written, and edited following the institutional format.	
V	D	IMP	I.5.	The institution supports the researchers in all of the following activities:	
V	D	IMP	I.5.1.	Instructional Materials Development	
V	D	IMP	I.5.2.	paper presentations, journal publication, classroom lectures, and other similar activities	
V	D	IMP	I.5.3.	editorship/ writing in academic, scientific and professional journals	
V	D	IMP	I.5.4.	thesis/ dissertation advising	
V	D	IMP	I.5.5.	patenting of research outputs.	
V	D	IMP	I.6.	Research results are published preferably in refereed journals.	
V	D	IMP	I.7.	Research results are disseminated to the target clientele.	
V	D	IMP	I.8.	The College/ Academic Unit generates income from patents, licenses, copyrights, and other research outputs.	
V	D	OUT	O.1	Research outputs are published in refereed journals.	
V	D	OUT	O.2	Research outputs are utilized.	
V	D	OUT	O.3	Patented and copyrighted research outputs are commercialized.	
VI	A	SIP	S.1	The extension agenda is in consonance of local, regional, and national development thrusts and priorities.	
VI	A	SIP	S.2.	The College/ Academic Unit has a benchmark survey of the problems, needs priorities and resources of the community.	
VI	A	SIP	S.3.	The extension program reflects the VMGO.	
VI	A	SIP	S.4.	There is a pool of consultants/ experts from various disciplines to serve in extension projects and activities.	
VI	A	SIP	S.5.	The institution has an approved and copyrighted Extension Manual.	
VI	A	IMP	I.1	The extension projects and activities implemented are based on the results of the benchmark survey.	
VI	A	IMP	I.2.	The extension projects and activities complement the curriculum of the program under review.	
VI	A	IMP	I.3.	A mutual exchange of resources and services between the College/ Academic Unit and the community is evident.	
VI	A	IMP	I.4.	Linkages with local, national, foreign, and non- governmental agencies are institutionalized.	
VI	A	OUT	O.1	Priority and relevant extension projects and activities are conducted.	
VI	B	SIP	S.1	There is a distinct office that manages the Extension Program.	
VI	B	SIP	S.2	Instruments for monitoring and evaluation are available.	
VI	B	IMP	I.1	The administration, faculty, students and other stakeholders of the College/ Academic Unit participate in the planning and organization of Extension Program.	
VI	B	IMP	I.2.	The administration, faculty, and students are involved in the implementation and dissemination of extension programs.	
VI	B	IMP	I.3.	The extension projects and activities serve varied clientele.	
VI	B	IMP	I.4.	The conduct of extension projects and activities is sustainable.	
VI	B	IMP	I.5.	Technologies/ new knowledge are disseminated to the target clientele through appropriate extension delivery systems.	
VI	B	IMP	I.6.	The extension activities are documented in the form of:	
VI	B	IMP	I.6.1	pamphlets;	
VI	B	IMP	I.6.2	flyers;	
VI	B	IMP	I.6.3	bulletins;	
VI	B	IMP	I.6.4	newsletters; and	
VI	B	IMP	I.6.5	electronic resources.	
VI	B	IMP	I.7	Periodic monitoring and evaluation of extension projects and activities are conducted.	
VI	B	IMP	I.8	Results of monitoring and evaluation are disseminated and discussed with concerned stakeholders.	
VI	B	IMP	I.9	re- planning of activities based on feedback is conducted.	
VI	B	IMP	I.10	Accomplishment and terminal reports are filed and submitted on time.	
VI	B	OUT	O.1	The Extension Program is well-planned, implemented, monitored, evaluated and disseminated.	
VI	B	OUT	O.2	The Extension Program has contributed to the improvement on the quality of life of the target clientele/beneficiaries.	
VI	C	SIP	S.1	There is an approved and adequate budget for extension.	
VI	C	SIP	S.2	There is a provision of:	
VI	C	SIP	S.2.1.	facilities and equipment such as internet and other ICT resources;	
VI	C	SIP	S.2.2.	extension staff;	
VI	C	SIP	S.2.3.	supplies and materials; and	
VI	C	SIP	S.2.4.	workplace.	
VI	C	IMP	I.1	The budget for the extension program is utilized as planned.	
VI	C	IMP	I.2	Honoraria and other incentives (deloading, credit unit equivalent, etc.) to the faculty involved in extension work are granted.	
VI	C	IMP	I.3	The College/ Academic unit sources out the following from the agencies:	
VI	C	IMP	I.3.1	additional funding; and	
VI	C	IMP	I.3.2	technical assistance and service inputs.	
VI	C	OUT	O.1	The Extension Program is adequately funded.	
VI	D	SIP	S.1	There is a strategy for involving the community, government and private agencies in the Extension Program.	
VI	D	IMP	I.1	The College/ Academic Unit is committed to the service and development of the community, and	
VI	D	IMP	I.1.1	initiates and maintains community development projects;	
VI	D	IMP	I.1.2	involves the students, faculty, staff administrators in the projects; and	
VI	D	IMP	I.1.3	coordinates its community programs and services with the target clientele.	
VI	D	IMP	I.2	There is community participation and involvement in extension activities in the following:	
VI	D	IMP	I.2.1.	planning;	
VI	D	IMP	I.2.2.	 implementation and dissemination;	
VI	D	IMP	I.2.3.	monitoring and evaluation;	
VI	D	IMP	I.2.4.	out-sourcing of funds, materials and other service inputs; and	
VI	D	IMP	I.3	utilization of technology, knowledge learned, skills acquired from the extension projects and activities.	
VI	D	OUT	O.1	There is wholesome coordination between the Extension Program implementers and the target clientele/beneficiaries .	
VII	A	SIP	S.1	The organizational structure of the library is well- defined.	
VII	A	SIP	S.2	The development of the library goals and objectives is the responsibility of the library head and staff with the approval of the Head of the institution.	
VII	A	SIP	S.3	There is a Library Board/ Committee which sets library policies, rules and procedures and periodically reviews them.	
VII	A	SIP	S.4	There is a duly approved and widely disseminated Library Manual or written policies and procedures covering the library’s internal administration and operation.	
VII	A	IMP	I.1	The library develops an explicit statement of its goals and objectives in conformity with the mandate of the institution.	
VII	A	IMP	I.2	The library is administered and supervised by:	
VII	A	IMP	I.2.1.	a full-time professional licensed librarian; and	
VII	A	IMP	I.2.2.	at least a master’s degree holder in MS Library and Information Science or MAED/ MA in Library Science.	
VII	A	IMP	I.3	The Head Librarian directs and supervises the total operation of the library and is responsible for the administration of its resources and services.	
VII	A	IMP	I.4	The Head Librarian, preferably with an academic rank, actively participates in the academic and administrative activities of the institution.	
VII	A	IMP	I.5	The annual accomplishments and other reports of the library are promptly submitted to the higher offices concerned.	
VII	A	IMP	I.6	A Library Development Plan is prepared in consultation with the institution’s officials and stakeholders.	
VII	A	OUT	O.1	The goals and objectives of the library are satisfactorily attained.	
VII	A	OUT	O.2	The library organizational structure is well-designed and effectively implemented.	
VII	B	SIP	S.1	The library has staff with the following qualifications:	
VII	B	SIP	S.1.1	BS in Library and Information Science for the College/ Academic Unit Library; and	
VII	B	SIP	S.1.2	MS in Library and Information Science or MAED/ MA in Library Science for the Institution.	
VII	B	SIP	S.2	The Library meets the required number of qualified and licensed librarian and staff to meet the needs of the school population with the ratio of:	
VII	B	SIP	S.2.1.	one (1)Licensed Librarian with two (2) full-time staffs for the first 500- student population; and	
VII	B	SIP	S.2.2.	one (1) additional full-time Professional Librarian with one (1) full- time staff for every additional 1, 000 students.	
VII	B	SIP	S.3	There is a continuing staff development program with the corresponding financial assistance from the institution.	
VII	B	IMP	I.1	The library staff compensation, retirement, and fringe benefits, as well as other privileges, are granted in accordance with existing government laws and institutional policies.	
VII	B	OUT	O.1	The librarians are qualified.	
VII	C	SIP	S.1	There is a written Collection Development Policy.	
VII	C	SIP	S.2	There is a core collection of at least:	
VII	C	SIP	S.2.1.	5, 000 titles for Academic Unit Library; or	
VII	C	SIP	S.2.2.	10, 000 titles that support the instruction, research and other programs for an Institution Library.	
VII	C	SIP	S.3	Twenty percent (20%) of the library holdings are of current edition, i.e. with copyright within the last 5 years.	
VII	C	SIP	S.4	The non- print, digital and electronic resources are available.	
VII	C	SIP	S.5.	There is an integrated library system.	
VII	C	SIP	S.6	There is provisions for the preservation, general care, and upkeep of library resources.	
VII	C	IMP	I.1	The Collection Development Policy is regularly reviewed and evaluated by the Library Committee.	
VII	C	IMP	I.2.	The library collection and services support the mission and vision of the Institution, goals of the College/ Academic unit and objectives of the program.	
VII	C	IMP	I.3.	The library provides sufficient research books and materials to supplement the clients’ curricular needs.	
VII	C	IMP	I.4.	The library maintains an extensive (15% of the total) Filipiniana Collection.	
VII	C	IMP	I.5.	The library provides 3-5 book/ journal titles for professional subjects in the major fields of specialization.	
VII	C	IMP	I.6.	the Library collection is organized according to an accepted scheme of classification and standard code of cataloging.	
VII	C	IMP	I.7.	Regular weeding- out program is conducted to maintain a relevant and updated collection.	
VII	C	IMP	I.8.	The quality and quantity of library materials and resources conform to the standards set for a particular academic program.	
VII	C	OUT	O.1	The library core collection is adequate, updated and well-balanced	
VII	C	OUT	O.2	The professional books, and electronic resources for the program are sufficient.	
VII	D	SIP	S.1	The library has information services pertinent to the institution’s requirements.	
VII	D	IMP	I.1	The following services/ programs are provided:	
VII	D	IMP	I.1.1.	functional and interactive library web page	
VII	D	IMP	I.1.2.	integrated library system	
VII	D	IMP	I.1.3.	on- line public access (OPAC)	
VII	D	IMP	I.1.4.	circulation on- line	
VII	D	IMP	I.1.5.	computerized cataloging	
VII	D	IMP	I.1.6.	inventory reporting	
VII	D	IMP	I.1.7.	serials control	
VII	D	IMP	I.1.8.	internet searching	
VII	D	IMP	I.1.9.	CD-ROM	
VII	D	IMP	I.1.10.	on- line database	
VII	D	IMP	I.1.11.	photocopying	
VII	D	IMP	I.1.12.	bar coding.	
VII	D	IMP	I.2.	 The library opens at least 54 hours per week for the College/ Academic Unit or 60 hours per week for the Institution.	
VII	D	IMP	I.3	The library promotes and disseminates its program through a regular announcement of its new acquisitions of print materials (books, journals, magazines), resources, facilities, and servies	
VII	D	IMP	I.4	Librarians and staff are available during library hours to assist and provide library services.	
VII	D	IMP	I.5.	 Statistical data on the utilization of various resources and services are compiled and provide library collection and operations.	
VII	D	OUT	O.1	The library services are efficiently and effectively provided.	
VII	D	OUT	O.2	The library users are satisfied with library services.	
VII	E	SIP	S.1	The library is strategically located and accessible to students, faculty and other clientele.	
VII	E	SIP	S.2.	The library is systematically planned to allow future expansion.	
VII	E	SIP	S.3.	The size of the library meets standard requirements considering the present enrollment and future expansion.	
VII	E	SIP	S.4.	The reading room can accommodate at least 10% of the school enrollment at any given time.	
VII	E	SIP	S.5.	Space is provided for print resources as well as work stations for electronic resources.	
VII	E	SIP	S.6.	Space is provided for the librarian’ office, staff room, technical room, etc.	
VII	E	SIP	S.7.	Ramps for the physically disabled are provided.	
VII	E	SIP	S.8.	The library meets the standard- sized furniture and equipment.	
VII	E	SIP	S.9.	The following library furniture and equipment are available:	
VII	E	SIP	S.9.1	adjustable/ movable shelves	
VII	E	SIP	S.9.2	magaazine display shelves	
VII	E	SIP	S.9.3.	newspaper racks	
VII	E	SIP	S.9.4.	standard tables and chairs	
VII	E	SIP	S.9.5.	carrels for individual study	
VII	E	SIP	S.9.6.	desks and chairs for staff	
VII	E	SIP	S.9.7.	charging desk	
VII	E	SIP	S.9.8.	dictionary stand	
VII	E	SIP	S.9.9.	atlas stand	
VII	E	SIP	S.9.10.	bulletin boards and display cabinets	
VII	E	SIP	S.9.11.	vertical file cabinets	
VII	E	SIP	S.9.12.	book racks	
VII	E	SIP	S.9.13.	map stands/ cabinets	
VII	E	SIP	S.9.14.	cardex/ rotadex or any filing equipment for periodical records	
VII	E	SIP	S.9.15.	typewriters	
VII	E	SIP	S.9.16.	computers with printers	
VII	E	SIP	S.9.17.	others (please specify) ____________.	
VII	E	SIP	S.10.	The library is well- lighted.	
VII	E	SIP	S.11.	The library is well- ventilated.	
VII	E	SIP	S.12.	The atmosphere is conductive to learning.	
VII	E	SIP	S.13.	Fire extinguishers and local fire alarm system are available.	
VII	E	SIP	S.14.	The library employs a system for security and control of library resources.	
VII	E	IMP	I.1.	IT software and multi- media equipment are utilized.	
VII	E	OUT	0.1.	The environment in the library is conducive to learning.	
VII	E	OUT	0.2.	The library facilities are well-maintained and aesthetically designed.	
VII	F	SIP	S.1	The institution has a regular and realistic budget for the library.	
VII	F	IMP	1.1.	The Head Librarian and staff, in coordination with other officials of the institution, prepare and manage the annual library budget.	
VII	F	IMP	I.2.	All fees and funds allocated for library resources and services are utilized solely for such purposes and are properly audited.	
VII	F	IMP	I.3.	Other sources of financial assistance are sought.	
VII	F	OUT	O.1	The financial support from fiduciary, supplemental and external funds is adequate.	
VII	G	SIP	S.1	The library is on the mailing list of agencies, foundations, etc., for exchange of publications and other books and journals donations.	
VII	G	IMP	I.1.	Linkages with other institutions and funding agencies are explored and established for purposes of enhancing library facilities and resources.	
VII	G	IMP	I.2.	The library establishes consortia, networking and resource sharing with other institutions and library collaborative activities.	
VII	G	OUT	O.1	Library resources sharing and linkages are well-established	
VIII	A	SIP	S.1	There is a Site Development Plan, and program of implementation.	
VIII	A	SIP	S.2.	The campus has accessible good roads and pathways.	
VIII	A	SIP	S.3.	The campus is in a well-planned, clean and properly landscape environment.	
VIII	A	SIP	S.4.	There is a system to ensure that all of the following are provided:	
VIII	A	SIP	S.4.1.	traffic safety in and outside the campus	
VIII	A	SIP	S.4.2.	waste management program	
VIII	A	SIP	S.4.3.	proper utilization, repair and upkeep of school facilities and equipment, and	
VIII	A	SIP	S.4.4.	cleanliness and orderliness of the school campus.	
VIII	A	SIP	S.5.	An area for outdoor activities, e.g. social, physical, athletic, cultural, military training, etc. exists.	
VIII	A	SIP	S.6.	There is campus security unit that ensures safety of the academic community.	
VIII	A	IMP	I.1.	The site infrastructure development plan is implemented as planned.	
VIII	A	IMP	I.2.	The site plan is strategically displayed inside the campus indicating the location of the different buildings, driveways, parking areas, etc.	
VIII	A	IMP	I.3.	The infrastructure development plan is implemented in accordance with approved zoning ordinances.	
VIII	A	IMP	I.4.	Covered walks are provided to protect the academic community from inclement weather.	
VIII	A	IMP	I.5.	The institution implements a Waste Management Program.	
VIII	A	IMP	I.6.	The Maintenance Unit or its equivalent periodically inspects school facilities and equipment to ensure their proper utilization and upkeep.	
VIII	A	OUT	0.1.	The Campus environment is conducive to all educational activities	
VIII	A	OUT	0.2.	The site can accommodate its present school population and future.	
VIII	A	OUT	0.3.	The campus is safe and well-maintained.	
VIII	A	OUT	0.4.	The campus is well-planned, clean and properly landscaped.	
VIII	B	SIP	S.1.	The buildings meet all requirements of the Building Code. A Certificate of Occupancy for each building is conspicuously displayed.	
VIII	B	SIP	S.2.	The buildings are constructed according to their respective uses.	
VIII	B	SIP	S.3.	The buildings are well-planned and appropriately located to provide for future expansion.	
VIII	B	SIP	S.4.	Entry and exit points permit the use of the buildings for public and other functions with minimum interference to school activities.	
VIII	B	SIP	S.5.	Emergency exits are provided and properly marked.	
VIII	B	SIP	S.6.	The buildings are equipped with emergency/ fire escapes which are readily accessible.	
VIII	B	SIP	S.7.	The corridors, doorways and alleys are well-constructed for better mobility.	
VIII	B	SIP	S.8.	The buildings are well-ventilated and lighted.	
VIII	B	SIP	S.9.	the buildings have facilities for persons with disability (PWDs) as provided by law.	
VIII	B	SIP	S.10.	There is a central signal and fire Alarm system.	
VIII	B	SIP	S.11.	There is readily accessible and functional fire extinguishers and other fire-fighting equipment.	
VIII	B	SIP	S.12.	Bulletin boards, display boards, waste disposal containers and other amenities are strategically located inside the buildings.	
VIII	B	SIP	S.13.	There is faculty rooms and offices.	
VIII	B	SIP	S.14.	The buildings are insured.	
VIII	B	IMP	I.1.	The buildings are clean, well-maintained and free from vandalistic acts.	
VIII	B	IMP	I.2.	Toilets are clean and well-maintained.	
VIII	B	IMP	I.3.	Electrical lines are safely installed and periodically checked.	
VIII	B	IMP	I.4.	Water facilities are functional and well-distributed in all buildings.	
VIII	B	IMP	I.5.	There is a periodic potability testing of drinking water.	
VIII	B	IMP	I.6.	Floor plans indicating fire exits and location of fire-fighting equipment, stand pipes, and other water sources are conspicuously displayed in each building.	
VIII	B	IMP	I.7.	All school facilities are periodically subjected to pest control and inspection.	
